original_index,0,1,2,3,4,5,6,7,8
119,0.06317275597275598,0.2368387307410768,0.08444455818124495,0.07808531020885155,0.054643883219379144,0.05431536407349576,0.0595570197163091,0.08146170139810993,0.05888264795247897
120,0.6759783726673201,0.021102364676520213,0.024478417867104783,0.040195803990930166,0.022578730155197336,0.024055399249921575,0.06526104492158713,0.02236395934305846,0.032985557921663425
121,0.0460568107478428,0.1965805730307845,0.10940549109654847,0.05965335699524382,0.05032749011230813,0.04287498843221273,0.036908663555206084,0.05296430186730383,0.04756059383678338
122,3.414404823394127e-308,1.806865198158551e-308,2.3092570381622634e-308,5.531906447684669e-308,1.6138091531749867e-308,3.273405025131275e-308,2.6690582490530387e-308,2.050859445873792e-308,1.0
123,0.5184193918433188,0.04923331608996219,0.06451658981244736,0.08167786779576526,0.054408405453205085,0.04456630773435434,0.07770950090998417,0.041911687369417965,0.06755693299154492
124,5.150857685805907e-308,2.3329261750223206e-308,3.011750980297951e-308,1.0,2.3126177310056006e-308,3.297595078804528e-308,3.906904679469928e-308,2.7368737360851623e-308,4.4130515733237164e-308
125,0.04233333063008558,0.06001849445929806,0.04025364568882232,0.05733061627845595,0.038735353420783866,0.063069980926179,0.05085520957013956,0.16962115591584284,0.04171121145282291
126,0.04700544949858444,0.4802888595408982,0.07590415749506417,0.06476376228422118,0.05169539202896202,0.05440686980880398,0.046530499844218656,0.08707459080151045,0.051097196823261755
127,1.7329322893065173e-308,1.5970454999787565e-308,2.6818860054839634e-308,1.883423634887181e-308,1.0,1.363334799842434e-308,1.3216558286746696e-308,1.303602672704239e-308,1.444492680375364e-308
128,0.0473232792368754,0.026799368391910206,0.038711366359964604,0.04319397223409552,0.06315150677845408,0.026155505849231302,0.03122807787528267,0.023666686034621902,0.029644595641593833
129,0.039504691148617425,0.04244422451132069,0.07434776899743135,0.04634469203853199,0.3740637129489833,0.03439542565768717,0.031015047880885552,0.03356619773385374,0.03566804153108027
130,0.06099658448636127,0.06810404401416774,0.05470123662966423,0.08926859102907511,0.05398963992004535,0.13031541176534722,0.0710956881678721,0.19321761724032513,0.06509288542959307
131,0.03707716541101703,0.05214593221284351,0.033148707108047716,0.0541293803129395,0.029001438854132654,0.06262988703486098,0.04705830863203032,0.598322095853355,0.039676544273194524
132,0.16874642254196243,0.037180554432040554,0.040251622601993095,0.11959873310484406,0.035623611828418326,0.06527268766352717,0.19870281318553443,0.052415745127827595,0.07028259431586019
133,1.7622941719414506e-308,1.612843863147897e-308,2.6238395534701965e-308,1.9270886732741077e-308,1.0,1.36798664518273e-308,1.3504527230060144e-308,1.332494785777469e-308,1.4260863387560124e-308
134,0.05581509475869416,0.03096851959774061,0.034003386808209995,0.07184754942121539,0.031805598010037815,0.12102235053122967,0.05542198024405764,0.048453565771708014,0.06456317105814616
135,0.06878183934829686,0.05247446943781796,0.2810221462861796,0.06490543087284166,0.06567069788138036,0.03526505391856854,0.038326691718313335,0.034457973358867446,0.052239966949761164
136,0.04948660912399819,0.15001895493212136,0.09700800244340992,0.05910041662913264,0.04401929744282078,0.03866394317192202,0.037846834706343306,0.04802229668508446,0.04695483795271382
137,4.111353542513425e-308,1.7546464766085554e-308,1.6037605105102677e-308,2.929493227472739e-308,1.522121859006271e-308,2.3810886335210704e-308,1.0,2.4086625842121817e-308,2.2578638719141603e-308
138,0.05732216406814258,0.03875160961744799,0.036786471755554065,0.08296324876510926,0.03352432310807247,0.3559935140934415,0.06281437751113235,0.0843339336080628,0.07159857751996175
139,0.038269688593040786,0.02324034355182427,0.03413357527824438,0.04282740527725622,0.06497727691260073,0.02622913786340901,0.028660619933483213,0.02248900237978936,0.027493601145982354
140,2.2127554853728676e-308,2.705839718892907e-308,1.0,2.3536058397280905e-308,3.1648593533226363e-308,1.496898465488143e-308,1.4470592122065896e-308,1.5416318546755404e-308,1.9480596268648165e-308
141,0.3434454736976316,0.05277247235704466,0.06947991063361524,0.11668069422931523,0.05700231584650385,0.0632783745144784,0.12918001556538578,0.05256702277875367,0.11559372037727146
142,0.044653682402903766,0.046714758613071714,0.03278028329993944,0.058195666324002894,0.02905575539652289,0.07508470810824092,0.06509751603325872,0.2082492004377592,0.04467277320033671
143,0.02933187434914202,0.03546031402497943,0.06410475123570143,0.03621136271497491,0.11577529984463694,0.026219868906452084,0.02309238775600308,0.026620695216965473,0.027186139975894242
144,1.6270600182804436e-308,1.0,2.8183774366606304e-308,2.091361338432133e-308,1.7009870342880606e-308,1.6564065471463896e-308,1.4809250994236002e-308,2.3623432355756403e-308,1.689815945278257e-308
145,0.03546092867785664,0.036311928533541295,0.02806544650470306,0.05175429077171638,0.025627728658066912,0.09114002410746971,0.04461304272522561,0.2548719470093912,0.04032552761820461
146,0.05057814280183229,0.07991102983862598,0.04872166870479462,0.07063262470075973,0.04507383041742856,0.0818905354291621,0.061584848344820566,0.41415353858667264,0.05202930311937936
147,4.3681274141521096e-308,2.114681578155723e-308,3.043553130045086e-308,1.0,2.2136844376752623e-308,3.226648329452391e-308,3.3160851781464395e-308,2.4214035731013225e-308,5.498073247690565e-308
148,0.053439498953659445,0.29780065850199094,0.08913983445981487,0.07547079360093867,0.06320125683609877,0.06559494441597327,0.052716829768091035,0.10136702802373271,0.05962617077472996
149,0.09529966238135722,0.06730453331859355,0.052098347955791664,0.08982566475213226,0.04842222840934426,0.07767098326813955,0.1810491613936328,0.11705777934346936,0.06397349622244433
150,0.06966797087244372,0.05416987905217208,0.03997912201676809,0.0680162364838619,0.037110112250212365,0.06282568050482737,0.12319236953863613,0.10232213317211813,0.049017776633286485
151,0.048924919623350695,0.053726684421993805,0.516436358729177,0.05656760940510643,0.053016811042826496,0.03259232839467446,0.030874635681612608,0.03231162302188704,0.045799228001091534
152,0.14842687289002837,0.05082707286663867,0.07847446197347209,0.1774005057387922,0.061337327012524,0.05753018905468144,0.09119229242655277,0.05039172817243593,0.09105823024398943
153,2.136396190093038e-308,1.6345696342196477e-308,1.553149553366393e-308,3.111351289234986e-308,1.406876427411088e-308,1.0,2.2848450039479174e-308,3.31870566350299e-308,3.161065187854891e-308
154,0.6943548228379423,0.029789312859192483,0.043333874679271966,0.05082017875014359,0.030832538760002998,0.027932643728155553,0.04578763201211732,0.025236419330664287,0.05191257704250957
155,2.1107471735614113e-308,1.5828280564335523e-308,1.49893923481004e-308,2.9267535547389117e-308,1.3853003358508746e-308,1.0,2.2856424347885323e-308,3.2931484529154397e-308,2.9633565513764156e-308
156,0.3048961797963616,0.04905357205979012,0.06375853891437867,0.13622659447366448,0.05532990867905027,0.0709602788940368,0.1430043889421139,0.053738152237599084,0.12303238600300509
157,0.36568602183512283,0.04264918548828465,0.047573717469610075,0.08987436171208579,0.046221680406621814,0.05185454602897406,0.1550396080614827,0.04923974718321047,0.0628408568813629
158,7.80147811961126e-308,1.642355713764726e-308,1.732415962685763e-308,3.803265034185565e-308,1.580261376211631e-308,2.578988877809376e-308,1.0,2.2031333832903304e-308,2.8969882782970936e-308
159,0.0555223824627301,0.16620921638033673,0.09223670171156823,0.09287314301458355,0.06166009112102941,0.06889006283940856,0.05375425670745669,0.09925030142216114,0.06540576778342301
160,0.050393311788478265,0.047335539197208655,0.03441013700972148,0.05915795756074646,0.030599904833587863,0.06751815968374669,0.07527677352495653,0.17180395618460664,0.04595273397828469
161,0.07635901474900261,0.034758530557537914,0.0333995339022571,0.05535867852722936,0.03107258743154592,0.03806960394664097,0.16562157829894206,0.04006156634821365,0.040282628387470557
163,0.042872360183855734,0.08086292184887785,0.08963826478104583,0.08105218325536685,0.04339212431263164,0.044136524374381425,0.034754820914774776,0.05028314460141118,0.05291216633077255
164,0.04217279957837004,0.40814113129902985,0.07439826776864292,0.057038948970633295,0.046170501115752535,0.046658589296230735,0.03885200842088074,0.06599924250472297,0.046212603323986044
165,0.4119004159269401,0.05739970347501349,0.06728004043041884,0.09399525961947103,0.060226633959112354,0.05089273655771349,0.09228296256987598,0.05005104761480227,0.06961566666175985
166,0.11829536864143712,0.05685591264555577,0.08980345901595477,0.33352670947494467,0.06245100230001458,0.06721010472642937,0.0842648402021541,0.057701145142123135,0.107889775475488
168,0.1051620251075037,0.05198181369915048,0.06003204816953545,0.27545823982249207,0.04914086737017422,0.11543479512410777,0.09349006551243776,0.07659932105263653,0.11837751700497609
169,0.11592993213802011,0.0450552341775615,0.05016144035202119,0.15429166875643976,0.04216448096747434,0.07737743049661155,0.12540785574083158,0.06866244909175626,0.08318224255337349
170,0.10261938889969414,0.03423248099536223,0.03803559184703238,0.06984610489950464,0.03813663558723393,0.04733339331416131,0.09650541997688213,0.03951687157095228,0.05040240222124137
171,0.03799146138424584,0.046759835588980204,0.052462919565781356,0.1217752147887279,0.033358887778275774,0.05128390125074325,0.033953046328754025,0.04843203816038434,0.06118420535610938
172,0.032435556888690695,0.029109347270669265,0.0454236833476699,0.03446762731033717,0.5431198481516334,0.025197546628147813,0.02498568729058754,0.024478999329333957,0.02594127380548154
