original_index,0,1,2,3,4,5,6,7
142,0.057550625598188236,0.023044748090158367,0.02272238498606452,0.03195108629769746,0.0419140905272214,0.33586276719169467,0.028113250615961576,0.03275581245685045
143,1.1376427801544477e-308,1.0,1.0544262354673425e-308,2.0196171470772527e-308,1.255980423604788e-308,1.11143648552398e-308,2.064347646025352e-308,1.798633735112392e-308
144,0.09301361695241926,0.04813441377885572,0.053967931681089154,0.09926363666171459,0.199965812012129,0.053503674074811394,0.12043374077912752,0.06615355094408047
145,0.04677188446872164,0.056993424169044876,0.07193270418663067,0.07793772892962784,0.07739301980842307,0.03745053594272384,0.43225050643875595,0.08929350148774243
146,0.04993861118895444,0.4397740348105758,0.04669953008547632,0.08961971785536432,0.05861758274863221,0.04875535361644945,0.10255498644340175,0.0794779031359409
147,0.10754826572072775,0.04129242433174615,0.07742329505101543,0.08398661499731129,0.2532743859556577,0.059331904663786655,0.08772685043814182,0.06909853720883194
148,0.042085548307685246,0.3685117569484138,0.042713161278773164,0.07095161195652538,0.047189517692421905,0.042457052096250406,0.07806281252868313,0.0762974039102495
149,0.04853336197033948,0.06057069788678031,0.03226581474072256,0.38203483532364324,0.043378575353557956,0.03272441684666277,0.0644772809914018,0.06433096043343914
150,0.04548267065660523,0.12173533700684096,0.03723855758877305,0.12047675195906953,0.04560125196535061,0.037447546973344875,0.07603254731879573,0.07873585851981019
151,1.0,1.063899780533159e-308,1.123404638514566e-308,2.0374695746755e-308,2.2629531012018685e-308,2.162903861586524e-308,1.389952775363094e-308,1.4064526761637384e-308
152,0.04991501715710263,0.027849336224886043,0.025660072667767313,0.03465579543708712,0.046437767427185014,0.6822918010249832,0.03258047993616931,0.03851442445293761
153,0.05826661963841714,0.34653718488204616,0.05682144445940722,0.09244629013671907,0.06958433564109721,0.06489996956867491,0.1092357943726417,0.09911743947973146
154,1.0,1.1727867240308807e-308,1.22711901986281e-308,2.6700390843590315e-308,2.29033600831976e-308,1.9091776868739975e-308,1.5541482109494317e-308,1.6282490184758155e-308
155,0.016899162535057466,0.01528983348399984,0.703385092988486,0.01970908094378457,0.028525656616401347,0.015498274477007011,0.029256770644584595,0.03614311631605721
156,0.576834575813356,0.03681085416439076,0.04051054349426838,0.07058370146140161,0.10670369294590272,0.06479777457627901,0.05625982918453813,0.04749902835986336
157,0.2258100118240362,0.041774928476912956,0.04855955058460854,0.08906781568223945,0.15117787265171811,0.06122803291596744,0.07258211954780414,0.05434196590686305
158,0.3707442856272399,0.05157171616858216,0.06115012754206568,0.1071477016145146,0.17126971527159943,0.08873792486697041,0.08085013413320861,0.06852839477581948
159,0.05306838697290724,0.3029450943837947,0.051694043007468486,0.10336235701977439,0.06348935134895861,0.04987149455677915,0.12839094904721726,0.09309875317603379
160,1.593002765901078e-308,2.32304119055701e-308,1.801985000087597e-308,2.575524848826456e-308,2.5583483873486733e-308,1.295160957079938e-308,1.0,2.434056254668827e-308
161,0.02352430386173764,0.7531544266554643,0.019768282043016294,0.04299262134374206,0.02427866952879243,0.022128013531972104,0.036890262199049104,0.03423941073842484
163,0.10576863563247799,0.04142427420663754,0.07878239673016804,0.08943402862415332,0.18765220607325414,0.055570778807949806,0.08736257318634043,0.07013758697303292
164,0.04161408673933519,0.39718450978441444,0.04705847344174502,0.06459602804480387,0.05375038145672432,0.043585043359631655,0.09557886363370838,0.0693984851780545
165,0.0881999615892213,0.051384745006458274,0.05657345285455031,0.11031685108045419,0.1512434496794623,0.05118554083154686,0.1399539843472416,0.07009920784068924
166,0.08736980113838698,0.038633684410182,0.07493568758305678,0.06537668958851782,0.48934210741588463,0.052166623339320976,0.08575602009024427,0.0647595465703627
168,0.15019280795282525,0.04536666068564061,0.07340967450652557,0.10353787834197127,0.19824849641904388,0.06632435197935863,0.08873317958969436,0.07266352512329304
169,0.11620312167853224,0.051447145438307744,0.05758674289796806,0.1106893895218356,0.17028423305825288,0.05721665398614581,0.11852433484632287,0.06910592946545559
170,2.0929143382061735e-308,2.007177984371405e-308,1.2584258362531042e-308,1.0,1.761799696281307e-308,1.291274318700897e-308,2.4053642284917823e-308,2.3792345925154536e-308
171,3.1658862593702943e-308,1.2783525155708795e-308,1.993078731203853e-308,1.928081920779335e-308,1.0,1.8150604956251694e-308,2.617861520437614e-308,1.9280737428023317e-308
172,1.865368434640514e-308,1.082038894551753e-308,9.97219126063799e-309,1.2971772134140363e-308,1.7160470457930664e-308,1.0,1.2347670751739175e-308,1.468006072973666e-308
173,0.05889878559418444,0.04210989780802602,0.04003844728878181,0.3055146430374914,0.050881873711210716,0.03337697427445479,0.06849607069083029,0.07473574820973387
174,0.22327976812386188,0.04464306145769369,0.05412840514241873,0.12649511745087513,0.1019111999429277,0.061960385148032156,0.07112570409121315,0.07244836078556216
176,1.8073598668691732e-308,1.966752751411578e-308,2.753425282312125e-308,2.430809685276847e-308,2.3964490710790505e-308,1.83867972696118e-308,3.276607062509389e-308,1.0
177,0.037994944769224215,0.5908156964383416,0.041805996151243,0.06047284560606863,0.04903515978740814,0.03893138409658223,0.0928767788819332,0.060050821236731805
178,0.04567724111889782,0.03268810684279364,0.3308038949834607,0.05031477471203228,0.07625033875847022,0.038407301157422954,0.06632789059218833,0.07610770370300819
179,0.03840903060630767,0.03017963039056126,0.6495884258897526,0.0438208345090512,0.062130043182214253,0.032956311054131535,0.059788375578134295,0.06852703819055399
180,0.7174157714078055,0.027718317243496503,0.02693330114852464,0.05188894594389903,0.05128432390629305,0.05515197870868621,0.03397969528672903,0.03562766635456607
