original_index,0,1,2,3,4,5,6,7,8,9
57,2.751614738629806e-308,2.275454656012851e-308,3.5445034212042183e-308,1.321873937316732e-308,2.3294478871687423e-308,6.396718699652677e-308,1.6874152712648034e-308,1.0,2.0508911892065093e-308,7.077944439139649e-308
58,0.03338092541283288,0.029628790810181004,0.066091302578483,0.01790183790948702,0.03302994334176981,0.41365536571732847,0.021419328906234734,0.08236458481636286,0.026556624577733858,0.0836278155346357
59,0.0489347838720115,0.03972002958771428,0.029273079268030494,0.02617464299729531,0.029905092324786935,0.0334219057935254,0.042056577748698955,0.04750312552813354,0.03679116853390548,0.035392163019249925
60,0.03519853776883287,0.03865493322208627,0.2367580593442939,0.02776097797180428,0.1218025900543277,0.07184186219198055,0.0344411366490943,0.06367488989690669,0.05535149347115107,0.09707065351661294
61,0.06312773399228981,0.040039327363275874,0.055695757470850114,0.02188905312168479,0.041180119415064595,0.08590136310980817,0.02944875507020884,0.18521306406110652,0.036019803026752756,0.16289205451030944
62,0.04377180487407492,0.044180086682612266,0.02914423709622318,0.07471557146336426,0.03862642667187486,0.027466057259023867,0.5095225564885132,0.0319562337842539,0.07692925293089126,0.02920759004606035
63,1.616787354976347e-308,1.797790450262442e-308,1.0,1.259736873876853e-308,3.8150020113344537e-308,3.905681302567118e-308,1.4747764030735965e-308,3.2490645572855855e-308,2.1885937497960485e-308,5.183227923355513e-308
64,0.5072589557280706,0.05079139962128306,0.0452475451314824,0.0372466649784421,0.05011150744047268,0.05020482541139574,0.05862936398393651,0.07539615955315714,0.06157837303592589,0.06353520511583395
65,2.3599904903919813e-308,2.17948585740496e-308,6.134973370819548e-308,1.314830294897818e-308,3.424944952573501e-308,5.1086086561937e-308,1.6878680974653796e-308,6.684089275166188e-308,2.395913781401437e-308,1.0
66,1.932613426097186e-308,2.1271152751189404e-308,1.482931008736009e-308,4.18703349163938e-308,2.0707730280422064e-308,1.3522200956244203e-308,1.0,1.523428082293365e-308,4.502590264637608e-308,1.440711462085411e-308
67,0.34332847650196857,0.06926060762218378,0.058564276180076286,0.051268610458933515,0.06631975854091153,0.06363752146325226,0.08486270775838722,0.09643698872760573,0.08627251911954471,0.08004853362713643
68,0.6911749630208756,0.045578175487570066,0.028303029751911433,0.024216234460687724,0.02668940697751595,0.03712808700240754,0.031427948155882686,0.048474649580155384,0.02923794898322453,0.0377695565797692
69,2.3356173781762705e-308,1.0,1.8631398488673604e-308,2.0531315958860747e-308,1.7431039711958154e-308,1.98545165594172e-308,2.0631818824417197e-308,2.251848234668488e-308,1.9594290347313147e-308,1.9345023085408545e-308
70,0.04534218872793094,0.1860889313252638,0.041751338479172125,0.03999191703886946,0.04230384634664316,0.04060838289557613,0.0437212890676494,0.04057582356682737,0.04607971274402043,0.03983860566667013
71,2.173054893867503e-308,2.167405012452868e-308,1.505442313826616e-308,3.43456986141912e-308,2.0851446440568876e-308,1.3955497258000915e-308,1.0,1.6180278963915735e-308,4.504014521824742e-308,1.5137597133247003e-308
72,0.12236439088628978,0.06257253636038862,0.059921069696584256,0.037878493523240714,0.06124464417234881,0.06978756011572337,0.05948599528327547,0.1315211586832527,0.06803354926354675,0.0991861967098181
73,1.343353304426445e-308,1.973795358085954e-308,1.18969987902607e-308,1.0,1.3950644299702814e-308,1.1156769978096485e-308,3.034668330931989e-308,1.1715991366777614e-308,2.003224822499421e-308,1.0820551049536295e-308
74,0.03664887233320714,0.04409633672579272,0.2469611166937706,0.029824834987991964,0.05916336736341238,0.11840375114185415,0.03181118352877936,0.07073576356769418,0.04214200406016496,0.08661704376642858
75,0.6754741655837896,0.0397132608984621,0.028602026540391894,0.027140354950707914,0.02965337144672134,0.03349956380351986,0.03984098726894037,0.05090275118002302,0.0362966158930107,0.038876902434433265
76,0.4275986014363754,0.07153548109432112,0.05320492592281168,0.042547133844205796,0.049985105704479525,0.07153455681299024,0.05687046335436103,0.09790121442213752,0.05460877937672541,0.07421373803159231
78,0.28208902383006795,0.06977491105179236,0.05355866173238957,0.044771625948155216,0.05346438991364977,0.0670789299882609,0.06336347359274931,0.09308663357883558,0.06121680549694502,0.07424443604663865
79,0.05535626192827998,0.04629947081476921,0.08105926734639914,0.027208058855481315,0.04605453143567105,0.3019430093981232,0.032647998368603985,0.19270792350019217,0.03929212197617059,0.12793080897035689
81,0.03259123616200619,0.04068249038588675,0.026023051139027142,0.21367002316279943,0.0329414542005565,0.02422301584997657,0.12994048738870462,0.02653462811636461,0.056320900318502655,0.024416844984223102
82,0.07330035083294952,0.03775849319039841,0.025138490075657854,0.03424637665976665,0.030100058763382915,0.02571528940011989,0.07470471402595029,0.03451534552647429,0.048489890406294346,0.02913719266941431
83,2.377284030116606e-308,1.0,1.8008680968804607e-308,2.0986838398230126e-308,1.7341611005676196e-308,1.9063771337820027e-308,2.1358849143657743e-308,2.1414616853481363e-308,1.999863330831193e-308,1.8669103482066093e-308
84,0.037184726521328156,0.045466915308881646,0.28414498988807885,0.03104776692519847,0.06355687382004467,0.11031787376395553,0.03303244140098293,0.06974659171405101,0.044286974329711286,0.08624663074158348
85,0.06520735539798306,0.050877382230036725,0.0336314164455535,0.06091831210796732,0.042963223343284396,0.03275997959225097,0.22047129380909908,0.040695851004084044,0.07894029795814744,0.036149333981932076
86,2.09655382661057e-308,2.1078916782611303e-308,2.211728223781148e-308,2.1761042707109794e-308,4.2885104564836084e-308,1.8168542745783556e-308,4.998966577635199e-308,2.0506298482099405e-308,1.0,2.2032274658351017e-308
87,0.05301256429227953,0.04724802499709253,0.07344490049719667,0.027145420269391412,0.044551948571102645,0.17221309175214342,0.032984703590564574,0.360107781692002,0.03928030653829417,0.11619465547601034
88,1.5434479696741456e-308,1.743024367609287e-308,3.209499063039004e-308,1.4930433817570604e-308,1.0,1.9987523182326186e-308,2.115084605227928e-308,2.0453899221088663e-308,4.650174562989519e-308,2.5718711925075017e-308
89,0.03547945783963896,0.043568272419817124,0.03441049273837025,0.026534362005309845,0.031940305281785354,0.038230572738891536,0.03678701495279988,0.045670891060913724,0.03590359416586844,0.036162308082107825
90,0.2956999217700465,0.07618485065603961,0.06355912714799658,0.051432901109771265,0.06782018570189378,0.07215326429477191,0.0804459405529801,0.11819919669588558,0.08280640904883511,0.0916982030217796
91,2.072188983589704e-308,2.0195892515016776e-308,4.483706024411873e-308,1.209390395920915e-308,2.069403116782897e-308,1.0,1.3843838291873374e-308,5.980514910210773e-308,1.6934137386348865e-308,5.592740337616105e-308
92,0.03759119048144536,0.037575841213228045,0.07478682779998914,0.022429537235671922,0.03692239904761185,0.3337751514361692,0.02478324481696391,0.06928041315226283,0.030101783008778183,0.0702882840918013
93,0.05559011365940219,0.08053891206147971,0.02727115456986286,0.026448385167356255,0.027083485128401596,0.030633645599813457,0.03560109512979852,0.04232222624570931,0.030839958136300704,0.033606341651602666
94,0.05437216839052943,0.03245236525072191,0.028509853787265563,0.019201246640560936,0.025762291595264046,0.037991530145456136,0.027188579815863485,0.09424049520907975,0.02755335365909599,0.046496991186962267
95,0.03556834138490291,0.1271623872570149,0.03890669087323249,0.035168139139584234,0.036438950284105306,0.03719336313745765,0.03672356116479217,0.03894454665392609,0.038898391372412466,0.036201492416208035
96,0.029478240740102357,0.033774361753079074,0.055185293252682545,0.029324470143410625,0.26612259419393025,0.036544672917762956,0.04462054453448652,0.03872251088863212,0.12308682752048877,0.04580976471830863
97,0.04495755910598671,0.05072234924314357,0.09454513115729245,0.027859700502718496,0.04984920102687734,0.13809312319760395,0.03314967197310614,0.12087023287370817,0.04148112088814953,0.10668374195163227
98,2.7971162911517905e-308,2.2665502660698744e-308,3.7776193045033425e-308,1.3011284187001156e-308,2.5027116288543095e-308,5.794524868164065e-308,1.698869832373256e-308,1.0,2.132704217132878e-308,1.0281679767981007e-307
99,0.05430335698571017,0.06466781110845947,0.10390318939666489,0.03266995981129388,0.05149509880015207,0.21048713279501957,0.035980709734740435,0.1069039216692965,0.04278420688880712,0.10609574994143953
100,0.05991818719031269,0.0563246766284585,0.0631349421067039,0.027885949293250747,0.048018472117328626,0.08333901821812942,0.03693738054385088,0.20197032587099548,0.04413070733738673,0.10908694398797181
101,1.0,1.9834895372939065e-308,1.341443178876217e-308,1.3700801388350836e-308,1.4108044276148977e-308,1.5303191703171643e-308,2.03150514158945e-308,2.308786379429146e-308,1.7773730070683433e-308,1.762929727733515e-308
102,0.03614517919800737,0.041383396042373365,0.22584077164661437,0.026208026872302545,0.05298968717991423,0.14627270208504045,0.02922115072508872,0.08011940634199716,0.03856645642432939,0.10527146073673244
