original_index,0,1,2,3,4,5,6
43,0.03625979501246264,0.5021247693726343,0.060573013771745676,0.088107733384306,0.0545388443335054,0.07502035772051312,0.04013971049253522
44,0.03483554317357311,0.06348887247582832,0.15287028578397235,0.06992856356216601,0.11286810361760606,0.03952893637319713,0.05427908652098375
45,0.061881649755113004,0.27064003640661527,0.130763646658682,0.15223269364116526,0.13304386859017722,0.10573409627086541,0.07500439627930439
46,9.976042856533915e-309,2.592432071592959e-308,1.8030899270677027e-308,1.0,2.57550457791453e-308,1.734315938755668e-308,1.4158834287986517e-308
47,0.570152860632191,0.06708769603168413,0.08069472668926621,0.06179178144611509,0.06086428102677282,0.07305426886991731,0.08635438530405343
48,0.0419792972975216,0.10176519465107267,0.15229885591771275,0.08888587287132006,0.09390268448563262,0.050891510806418155,0.05514186150034575
49,1.0431504418037115e-308,1.7934186768447824e-308,1.0268365296315794e-308,1.7609087692453223e-308,1.098238018192476e-308,1.0,9.630522259931377e-309
50,0.03334198502930314,0.051371253638302694,0.03342189086729744,0.05591761592214086,0.036788199993206906,0.3078240616561224,0.03115865094008953
52,0.036868301184853514,0.08646985550941469,0.06539795658922765,0.44135858846270615,0.11167728209368409,0.06723049424545724,0.05057688468885131
53,1.382074769306279e-308,1.690687681824324e-308,1.0,1.7517869783260133e-308,2.3456892710417037e-308,1.1271758100801754e-308,2.338540918967854e-308
54,1.5021488491125833e-308,1.5160962613060217e-308,1.0,1.543960669707386e-308,2.2009112276974783e-308,1.094312920798266e-308,2.362050433871568e-308
55,0.6794943458896886,0.04153085669615866,0.06509545083920351,0.04270640062994083,0.04695224200352712,0.04529750436534839,0.07892319957613306
56,0.051699538053670877,0.05825586545557993,0.3684609889657797,0.06383815408969883,0.08249127822792926,0.04122363928715335,0.09380673701589191
57,0.048486520929930256,0.05211308151148419,0.6371418669139196,0.05356837810657793,0.07263393494111609,0.036291970583237236,0.0791360256442471
58,0.3315551578838545,0.060843502052228486,0.07670774116652858,0.06651475797959965,0.06788040016663467,0.08220114050304778,0.0947028121839131
59,0.0341671250766215,0.043806023349455166,0.0342606312102726,0.051901153003877425,0.036170086217121845,0.09379917928672102,0.03278729732400668
60,0.07211627030719485,0.07333096442579068,0.2872922592328735,0.07515541011949073,0.09706483770287963,0.05513626514709642,0.11431154011137656
61,0.5624185310349313,0.07190108693865588,0.08160629710531114,0.06385570662605439,0.06203089889981826,0.07532311660840654,0.08286436278682248
62,0.055938912900736694,0.194389642600997,0.08704695348802673,0.20303112447540622,0.09043959110765452,0.12941974535966236,0.06718087766314758
63,0.041643552993914555,0.05592731466571919,0.11494815884282607,0.07965401187522453,0.4385819090859276,0.04201209228889368,0.07193126881190706
64,0.12305806823462005,0.03989024367097043,0.0628392891081749,0.036324228631845645,0.038062977418482136,0.0368257704190926,0.054994834649034076
65,0.11025108509854308,0.0738401390553146,0.25087976174868953,0.0742856903483336,0.08921084835343009,0.05982308757897122,0.13203270182680255
66,0.07107080163772096,0.06747154280772406,0.10275483948878461,0.0701085803319597,0.06810585803204984,0.06206373459213238,0.08326931671931116
67,0.7295807513281094,0.045203668263258244,0.05158906778902956,0.03936741457654614,0.03770234575211591,0.04472705985174527,0.05182969243919547
68,0.3424828409901815,0.12167739491543932,0.1259922822993789,0.0970849388176131,0.09322466024147306,0.10852838238412328,0.1110095003517909
69,1.314147480804304e-308,1.7290598062818385e-308,1.0,1.758013670670123e-308,2.4504283700103296e-308,1.122110737903165e-308,2.0459441059500817e-308
70,0.035751405167000525,0.06903770151862124,0.14030717105835655,0.07719645728282289,0.1166828833156409,0.04182569062423008,0.05187591320701692
71,0.6873172237417362,0.04140793137795073,0.05738925597131753,0.04456656357669282,0.04729930921555132,0.05113639020604915,0.0708833259107021
72,0.660219072928959,0.0513009091991625,0.06766179231681078,0.0477437438924535,0.04862327426946696,0.053349499867379975,0.0711017075257673
73,0.044867260867835275,0.23032472248020114,0.06929446317911106,0.13504373758199897,0.06785508173704663,0.11255912256595056,0.05086716782701967
74,0.05825719450150806,0.28534450108520254,0.0972327061580976,0.19343657045839055,0.09380464683766344,0.11988396763313246,0.07047880937927438
75,0.4707155326195764,0.08776405103871587,0.09497907915478758,0.07844514955854427,0.07382680988446656,0.09632420568363123,0.09794517206027815
76,0.03201790690656105,0.03795314492814109,0.06460194879648222,0.058879058234652275,0.5647151579441649,0.03164311227496975,0.05988118369452991
78,0.4048281066815797,0.10595930411879001,0.11432243252633886,0.08742405723817458,0.08464265768506102,0.09857844622563945,0.1042449955244165
79,0.08797994225599319,0.04646158051400795,0.09708796097267174,0.058235632763394135,0.07389051429152356,0.04386862217832673,0.5899240179799594
81,0.05119291058394309,0.10150342487705537,0.09047653086202902,0.2738027112073208,0.17113636020185655,0.08717562195145537,0.07113764234391964
82,0.06610484627905809,0.047851874836007044,0.09328700088761023,0.05086412590952267,0.060367734367020566,0.04184288712807834,0.0693309112695994
83,0.7808536615938028,0.029058742838380683,0.041081085017155385,0.030864846118438708,0.03263394980926919,0.034696598724504646,0.050811115898448576
84,0.02506248318386646,0.11021407818354798,0.05373562485821826,0.049693984388834274,0.0407824198720968,0.036077961002869,0.02885481379176653
85,0.3517928241579573,0.05363127581371015,0.07733911005153914,0.055536766758839395,0.05939167200214085,0.060375865216203806,0.10103549830269498
86,1.866960401502683e-308,1.121029255414557e-308,2.39498460902425e-308,1.472567853330008e-308,2.039090559137011e-308,1.043416803401542e-308,1.0
87,0.04286447845143191,0.01954161526510001,0.03721689607281511,0.024724142860156513,0.03223214477179833,0.01950808614811455,0.748121348448447
